id,text,retweet_count,reply_count,like_count,quote_count,media_url,media_type,short_url,expanded_url,annotation
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,6847,135,32810,219,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,photo,https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",5153,162,28364,274,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,photo,https://t.co/0Xxu71qeIV,https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,3403,108,21295,145,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,photo,https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,7057,139,35766,286,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,photo,https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",7566,192,34193,296,https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,photo,https://t.co/AtUZn91f7f,https://twitter.com/dog_rates/status/891327558926688256/photo/1,Franklin
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,2538,58,17216,43,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,photo,https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,South Africa
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",1616,51,10039,55,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,photo,https://t.co/Zr4hWfAs1H,https://gofundme.com/ydvmve-surgery-for-jax,Jax
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,15388,154,55171,377,https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,photo,https://t.co/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,3542,89,23751,129,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,photo,https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,5958,136,27077,352,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,photo,https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie
